"","Genus","Species","reference_no","subfamily","Tribe","Fossil","min_ma","max_ma","Notes"
"523","Cephalotes","jansei","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"524","Cephalotes","maya","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"525","Cephalotes","obscurus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"526","Cephalotes","olmecus","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"527","Cephalotes","poinari","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"528","Cephalotes","resinae","40586","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"529","Cephalotes","serratus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"530","Cephalotes","squamosus","40531","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"531","Cephalotes","sucinus","40586","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"532","Cephalotes","taino","40586","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"533","Cephalotes","ventriosus","40586","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"534","Clavipetiola","asiatica","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"535","Crematogaster",NA,"57466","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"536","Crematogaster","aurora","55770","Myrmicinae",NA,"Yes",41.3,47.8,"Note"
"537","Crematogaster","praecursor","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"538","Cyphomyrmex","maya","44526","Myrmicinae",NA,"Yes",15.97,23.03,"Note"
"539","Cyphomyrmex","taino","44526","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"540","Electroponera","dubia","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"541","Enneamerus","reticulatus","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"542","Eocenidris","crassa","38990","Myrmicinae",NA,"Yes",38,41.3,"Note"
"543","Eocenomyrma","electrina","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"544","Eocenomyrma","elegantula","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"545","Eocenomyrma","orthospina","44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"546","Eocenomyrma","rugosostriata","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"547","Eomyrmex","guchengziensis","44613","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"548","Fallomyrma","transversa","44581","Myrmicinae",NA,"Yes",33.9,38,"Note"
"549","Fushunomyrmex","liaoningensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"550","Hypopomyrmex","bombiccii","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"551","Ilemomyrmex","caecus","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"552","Leptothorax",NA,"39515","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"553","Leptothorax","muscorum","54747","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"554","Lonchomyrmex","freyeri","38709","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"555","Lonchomyrmex","nigritus","37742","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"556","Macabeemyrma","ovata","38422","Myrmicinae",NA,"Yes",47.8,56,"Note"
"557","Messor",NA,"34859","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"558","Messor","sculpturatus","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"559","Miosolenopsis","fossilis","16579","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"560","Monomorium",NA,"44580","Myrmicinae",NA,"Yes",33.9,38,"Note"
"561","Monomorium","kugleri","40645","Myrmicinae",NA,"Yes",33.9,38,"Note"
"562","Monomorium","mayrianum","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"563","Monomorium","pilipes","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"564","Myrmecites","dubius","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"565","Myrmecites","latus","51760","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"566","Myrmecites","major","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"567","Myrmecites","pusillus","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"568","Myrmecites","rotundiceps","44418","Myrmicinae",NA,"Yes",46.2,50.3,"Note"
"569","Myrmecites","sibiricus","56094","Myrmicinae",NA,"Yes",33.9,38,"Note"
"570","Myrmica",NA,"37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"571","Myrmica","eocenica","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"572","Myrmica","incompleta","54747","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"573","Myrmica","intermedia","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"574","Myrmica","lobifrons","55325","Myrmicinae",NA,"Yes",0.0117,0.126,"Note"
"575","Myrmica","longispinosa","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"576","Myrmica","paradoxa","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"577","Myrmica","rudis","40541","Myrmicinae",NA,"Yes",33.9,38,"Note"
"578","Myrmicinae",NA,"34859","Myrmicinae",NA,"Yes",5.333,7.246,"Note"
"579","Myrmicites",NA,"38738","Myrmicinae",NA,"Yes",28.4,33.9,"Note"
"580","Nesomyrmex","caritatis","44617","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"581","Nesomyrmex","dominicanus","44617","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"582","Orbigastrula","guchengziensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"583","Oxyidris","antillana","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"584","Parameranoplus","primaevus","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"585","Paraphaenogaster","hooleyana","51861","Myrmicinae",NA,"Yes",33.9,38,"Note"
"586","Paraphaenogaster","jurinei","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"587","Paraphaenogaster","microphthalmus","41286","Myrmicinae",NA,"Yes",11.608,15.97,"Note"
"588","Paraphaenogaster","tertiaria","37344","Myrmicinae",NA,"Yes",11.608,12.7,"Note"
"589","Pheidole",NA,"44620","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"590","Pheidole","cordata","44586","Myrmicinae",NA,"Yes",33.9,38,"Note"
"591","Pheidole","pallidula","56112","Myrmicinae",NA,"Yes",5.333,8.7,"Note"
"592","Pheidole","primigenia","44620","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"593","Pheidole","rasnitsyni","47543","Myrmicinae",NA,"Yes",0,0.0117,"Note"
"594","Pheidole","tertiaria","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"595","Pheidole","tethepa","5205","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"596","Plesiomyrmex","tubulatus","44624","Myrmicinae",NA,"Yes",33.9,38,"Note"
"597","Podomyrma","mayri","44518","Myrmicinae",NA,"Yes",5.333,11.608,"Note"
"598","Pogonomyrmex","fossilis","4971","Myrmicinae",NA,"Yes",33.9,37.2,"Note"
"599","Quineangulicapito","fushunensis","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"600","Sphaerogasterites","longipetiolatus","40725","Myrmicinae",NA,"Yes",48.6,55.8,"Note"
"601","Stenamma","berendti","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"602","Stigmomyrmex","venustus","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"603","Stiphromyrmex","robustus","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"604","Strumigenys","electrina","44409","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"605","Strumigenys","pilosula","44632","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"606","Strumigenys","poinari","44632","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"607","Strumigenys","schleeorum","44409","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"608","Temnothorax","glaesarius","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"609","Temnothorax","gracilis","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"610","Temnothorax","hystriculus","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"611","Temnothorax","longaevus","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"612","Temnothorax","petiolata","44414","Myrmicinae",NA,"Yes",33.9,38,"Note"
"613","Temnothorax","placivus","40999","Myrmicinae",NA,"Yes",33.9,38,"Note"
"614","Temnothorax","praecreolus","44636","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"615","Tetramorium","kulickae","56231","Myrmicinae",NA,"Yes",33.9,38,"Note"
"616","Tetramorium","paraarmatum","56231","Myrmicinae",NA,"Yes",33.9,38,"Note"
"617","Trachymyrmex","primaevus","44637","Myrmicinae",NA,"Yes",13.82,20.44,"Note"
"618","Cephites","fragilis","37344","None",NA,"Yes",11.608,12.7,"Fly"
"619","Cephites","oeningensis","37344","None",NA,"Yes",11.608,12.7,"Fly"
"620","Formicidae",NA,"34084","None",NA,"Yes",47.8,56,"Note"
"621","Paraponera",NA,"5208","Paraponerinae",NA,"Yes",13.82,20.44,"Note"
"622","Paraponera","dieteri","40058","Paraponerinae",NA,"Yes",13.82,20.44,"Note"
"623","Afropone","oculata","38353","Ponerinae",NA,"Yes",89.8,93.9,"Note"
"624","Afropone","orapa","38353","Ponerinae",NA,"Yes",89.8,93.9,"Note"
"625","Anochetus","ambiguus","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"626","Anochetus","brevidentatus","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"627","Anochetus","conisquamis","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"628","Anochetus","corayi","44413","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"629","Anochetus","dubius","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"630","Anochetus","exstinctus","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"631","Anochetus","intermedius","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"632","Anochetus","lucidus","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"633","Archiponera","wheeleri","4971","Ponerinae",NA,"Yes",33.9,37.2,"Note"
"634","Austroponera","schneideri","59088","Ponerinae",NA,"Yes",20.44,23.03,"Note"
"635","Cephalopone","grandis","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"636","Cephalopone","potens","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"637","Cyrtopone","curiosa","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"638","Cyrtopone","elongata","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"639","Cyrtopone","microcephala","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"640","Cyrtopone","striata","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"641","Eogorgites","cingulatus","40725","Ponerinae",NA,"Yes",48.6,55.8,"Note"
"642","Eoponerites","longipetiolatus","40725","Ponerinae",NA,"Yes",48.6,55.8,"Note"
"643","Furcisutura","wanghuacunensis","40725","Ponerinae",NA,"Yes",48.6,55.8,"Note"
"644","Hypoponera","atavia","44414","Ponerinae",NA,"Yes",33.9,38,"Note"
"645","Hypoponera","scitula","49030","Ponerinae",NA,"Yes",2.588,5.333,"Note"
"646","Leptogenys","chinensis","16579","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"647","Leptogenys","lacerata","16579","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"648","Longicapitia","reticulata","40725","Ponerinae",NA,"Yes",48.6,55.8,"Note"
"649","Messelepone","leptogenoides","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"650","Odontomachus","paleomyagra","53443","Ponerinae",NA,"Yes",16.9,20,"Note"
"651","Odontomachus","pseudobauri","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"652","Odontomachus","spinifer","44411","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"653","Pachycondyla",NA,"57466","Ponerinae",NA,"Yes",15.97,23.03,"Note"
"654","Pachycondyla","aberrans","56094","Ponerinae",NA,"Yes",33.9,38,"Note"
"655","Pachycondyla","baltica","44585","Ponerinae",NA,"Yes",33.9,38,"Note"
"656","Pachycondyla","calcarea","38999","Ponerinae",NA,"Yes",28.4,33.9,"Note"
"657","Pachycondyla","conservata","44602","Ponerinae",NA,"Yes",33.9,38,"Note"
"658","Pachycondyla","dubia","38999","Ponerinae",NA,"Yes",28.4,33.9,"Note"
"659","Pachycondyla","eocenica","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"660","Pachycondyla","globiventris","38999","Ponerinae",NA,"Yes",28.4,33.9,"Note"
"661","Pachycondyla","gracilicornis","44414","Ponerinae",NA,"Yes",33.9,38,"Note"
"662","Pachycondyla","labandeirai","44418","Ponerinae",NA,"Yes",46.2,50.3,"Note"
"663","Pachycondyla","lutzi","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"664","Pachycondyla","messeliana","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"665","Pachycondyla","minutansata","16579","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"666","Pachycondyla","nubeculata","16579","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"667","Pachycondyla","oligocenica","56094","Ponerinae",NA,"Yes",33.9,38,"Note"
"668","Pachycondyla","parvula","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"669","Pachycondyla","petiolosa","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"670","Pachycondyla","petrosa","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"671","Pachycondyla","succinea","44414","Ponerinae",NA,"Yes",33.9,38,"Note"
"672","Pachycondyla","tristis","44602","Ponerinae",NA,"Yes",33.9,38,"Note"
"673","Platythyrea","dentata","40294","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"674","Platythyrea","dlusskyi","36397","Ponerinae",NA,"Yes",48.6,55.8,"Note"
"675","Platythyrea","primaeva","38999","Ponerinae",NA,"Yes",28.4,33.9,"Note"
"676","Platythyrea","procera","40294","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"677","Platythyrea","pumilio","44623","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"678","Platythyrea","scalprum","40294","Ponerinae",NA,"Yes",13.82,20.44,"Note"
"679","Ponera","elegantissima","54829","Ponerinae",NA,"Yes",23.03,28.4,"Note"
"680","Ponera","leptocephala","44518","Ponerinae",NA,"Yes",5.333,11.608,"Note"
"681","Ponera","lobulifera","44602","Ponerinae",NA,"Yes",33.9,38,"Note"
"682","Ponera","mayri","44602","Ponerinae",NA,"Yes",33.9,38,"Note"
"683","Ponera","wheeleri","44602","Ponerinae",NA,"Yes",33.9,38,"Note"
"684","Ponerinae",NA,"36397","Ponerinae",NA,"Yes",47.8,56,"Note"
"685","Ponerites",NA,"51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"686","Ponerites","antropovi","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"687","Ponerites","atavinus","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"688","Ponerites","coloradensis","44418","Ponerinae",NA,"Yes",46.2,50.3,"Note"
"689","Ponerites","crawleyi","5061","Ponerinae",NA,"Yes",33.9,38,"Note"
"690","Ponerites","elongatus","38709","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"691","Ponerites","eocenicus","44418","Ponerinae",NA,"Yes",46.2,50.3,"Note"
"692","Ponerites","gracilior","38709","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"693","Ponerites","hooleyi","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"694","Ponerites","hypoponeroides","44418","Ponerinae",NA,"Yes",46.2,50.3,"Note"
"695","Ponerites","kishenehne","55770","Ponerinae",NA,"Yes",41.3,47.8,"Note"
"696","Ponerites","nitidus","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"697","Ponerites","oblongiceps","51760","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"698","Ponerites","tenuis","38709","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"699","Ponerites","umbrus","44457","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"700","Poneropsis","crassinervis","37344","Ponerinae",NA,"Yes",12.7,13.65,"Note"
"701","Poneropsis","escheri","38709","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"702","Poneropsis","fuliginosa","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"703","Poneropsis","globosa","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"704","Poneropsis","longaeva","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"705","Poneropsis","rhenana","44626","Ponerinae",NA,"Yes",23.03,28.4,"Note"
"706","Poneropsis","stygia","38709","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"707","Poneropsis","veneraria","47508","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"708","Poneropsis","ventrosa","37344","Ponerinae",NA,"Yes",11.608,12.7,"Note"
"709","Protopone","dubia","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"710","Protopone","germanica","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"711","Protopone","magna","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"712","Protopone","oculata","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"713","Protopone","primigena","44404","Ponerinae",NA,"Yes",41.3,47.8,"Note"
"714","Protopone","sepulta","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"715","Protopone","vetula","43781","Ponerinae",NA,"Yes",40.4,48.6,"Note"
"716","Taphopone","aberrans","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"717","Taphopone","karaganensis","41286","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"718","Taphopone","macroptera","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"719","Taphopone","microptera","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"720","Taphopone","petrosa","51861","Ponerinae",NA,"Yes",33.9,38,"Note"
"721","Taphopone","stauropolitanus","41286","Ponerinae",NA,"Yes",11.608,15.97,"Note"
"722","Bradoponera",NA,"44437","Proceratiinae",NA,"Yes",33.9,38,"Note"
"723","Bradoponera","electrina","44437","Proceratiinae",NA,"Yes",33.9,38,"Note"
"724","Bradoponera","meieri","44414","Proceratiinae",NA,"Yes",33.9,38,"Note"
"725","Bradoponera","similis","44602","Proceratiinae",NA,"Yes",33.9,38,"Note"
"726","Bradoponera","wunderlichi","44437","Proceratiinae",NA,"Yes",33.9,38,"Note"
"727","Discothyrea","gigas","44527","Proceratiinae",NA,"Yes",13.82,20.44,"Note"
"728","Discothyrea","maya","44527","Proceratiinae",NA,"Yes",15.97,23.03,"Note"
"729","Proceratium","denticulatum","44629","Proceratiinae",NA,"Yes",13.82,20.44,"Note"
"730","Proceratium","dominicanum","40049","Proceratiinae",NA,"Yes",13.82,20.44,"Note"
"731","Proceratium","eocenicum","44602","Proceratiinae",NA,"Yes",33.9,38,"Note"
"732","Proceratium","gibberum","40049","Proceratiinae",NA,"Yes",13.82,20.44,"Note"
"733","Proceratium","petrosum","56094","Proceratiinae",NA,"Yes",33.9,38,"Note"
"734","Proceratium","poinari","40049","Proceratiinae",NA,"Yes",13.82,20.44,"Note"
"735","Pseudomyrmex","antiquus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"736","Pseudomyrmex","avitus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"737","Pseudomyrmex","baros","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"738","Pseudomyrmex","coruscus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"739","Pseudomyrmex","extinctus","4971","Pseudomyrmecinae",NA,"Yes",33.9,37.2,"Note"
"740","Pseudomyrmex","macrops","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"741","Pseudomyrmex","nexilis","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"742","Pseudomyrmex","oryctus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"743","Pseudomyrmex","prioris","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"744","Pseudomyrmex","saxulum","55770","Pseudomyrmecinae",NA,"Yes",41.3,47.8,"Note"
"745","Pseudomyrmex","simplex","44631","Pseudomyrmecinae",NA,"Yes",0,0.0117,"Note"
"746","Pseudomyrmex","succinus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"747","Pseudomyrmex","thecolor","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"748","Pseudomyrmex","vicinus","44631","Pseudomyrmecinae",NA,"Yes",13.82,20.44,"Note"
"749","Tetraponera","europaea","44602","Pseudomyrmecinae",NA,"Yes",33.9,38,"Note"
"750","Tetraponera","groehni","44602","Pseudomyrmecinae",NA,"Yes",33.9,38,"Note"
"751","Tetraponera","klebsi","38999","Pseudomyrmecinae",NA,"Yes",28.4,33.9,"Note"
"752","Tetraponera","lacrimarum","40999","Pseudomyrmecinae",NA,"Yes",33.9,38,"Note"
"753","Tetraponera","ocellata","44414","Pseudomyrmecinae",NA,"Yes",33.9,38,"Note"
"754","Tetraponera","oligocenica","38999","Pseudomyrmecinae",NA,"Yes",33.9,37.2,"Note"
"755","Tetraponera","simplex","44414","Pseudomyrmecinae",NA,"Yes",33.9,38,"Note"
"756","Gerontoformica",NA,"58266","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"757","Gerontoformica","contegus","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"758","Gerontoformica","cretacica","35083","Sphecomyrminae",NA,"Yes",99.6,105.3,"Note"
"759","Gerontoformica","gracilis","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"760","Gerontoformica","magnus","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"761","Gerontoformica","maraudera","58266","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"762","Gerontoformica","occidentalis","44281","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"763","Gerontoformica","orientalis","36535","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"764","Gerontoformica","pilosus","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"765","Gerontoformica","robustus","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"766","Gerontoformica","rugosus","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"767","Gerontoformica","spiralis","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"768","Gerontoformica","subcuspis","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"769","Gerontoformica","tendir","50661","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"770","Haidomyrmex","cerberus","39313","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"771","Haidomyrmex","scimitarus","44280","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"772","Haidomyrmex","zigrasi","44280","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"773","Haidomyrmodes","mammuthus","44281","Sphecomyrminae",NA,"Yes",99.6,105.3,"Note"
"774","Haidoterminus","cippus","47973","Sphecomyrminae",NA,"Yes",70.6,83.5,"Note"
"775","Sphecomyrminae",NA,"36535","Sphecomyrminae",NA,"Yes",89.8,93.9,"Note"
"776","Sphecomyrminae","canadensis","38990","Sphecomyrminae",NA,"Yes",70.6,83.5,"Note"
"777","Sphecomyrminae","freyi","36535","Sphecomyrminae",NA,"Yes",89.8,93.9,"Note"
"778","Sphecomyrminae","mesaki","36535","Sphecomyrminae",NA,"Yes",89.8,93.9,"Note"
"779","Zigrasimecia","ferox","50003","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"780","Zigrasimecia","tonsora","47310","Sphecomyrminae",NA,"Yes",93.5,99.6,"Note"
"781","Baikuris",NA,"48703","Sphecomyrminae",NA,"Yes",72.1,83.6,"Note"
"782","Baikuris","casei","5815","Sphecomyrminae",NA,"Yes",89.8,93.9,"Note"
"783","Baikuris","mandibularis","39885","Sphecomyrminae",NA,"Yes",83.6,89.8,"Note"
"784","Baikuris","maximus","53728","Sphecomyrminae",NA,"Yes",99.6,105.3,"Note"
"785","Baikuris","mirabilis","39885","Sphecomyrminae",NA,"Yes",83.6,89.8,"Note"
"786","Ceratomyrmex","ellenbergeri","59331","Sphecomyrminae",NA,"Yes",93.5,99.6,"Stem Ant"
"787","Cretomyrma","arnoldii","37059","Sphecomyrminae",NA,"Yes",83.6,86.3,"Stem Ant"
"788","Cretomyrma","unicornis","37059","Sphecomyrminae",NA,"Yes",83.6,86.3,"Stem Ant"
"789","Dlusskyidris","zherichini","37059","Sphecomyrminae",NA,"Yes",83.6,86.3,"Note"
